site_id,filename,source_url,provenance_status,deploy_safe,optimized,notes
01,hero-stone.*,https://images.unsplash.com/photo-1747696766706-5485b39bf358,LICENSED,YES,YES,"Unsplash License (commercial use, no attribution required). Role: hero. Material/atmosphere reference only — never presented as this business's own work. Replace with owner-supplied originals if the business becomes a client."
01,mat-onyx.*,https://images.unsplash.com/photo-1550053808-52a75a05955d,LICENSED,YES,YES,"Unsplash License (commercial use, no attribution required). Role: material. Material/atmosphere reference only — never presented as this business's own work. Replace with owner-supplied originals if the business becomes a client."
01,mat-swirl.*,https://images.unsplash.com/photo-1651395284328-a77bd96df726,LICENSED,YES,YES,"Unsplash License (commercial use, no attribution required). Role: material. Material/atmosphere reference only — never presented as this business's own work. Replace with owner-supplied originals if the business becomes a client."
01,mat-bronze.*,https://images.unsplash.com/photo-1694382224140-cb7443c6a3ec,LICENSED,YES,YES,"Unsplash License (commercial use, no attribution required). Role: material. Material/atmosphere reference only — never presented as this business's own work. Replace with owner-supplied originals if the business becomes a client."
01,mat-carnelian.*,https://images.unsplash.com/photo-1612476477553-ec93b571bfe4,LICENSED,YES,YES,"Unsplash License (commercial use, no attribution required). Role: material. Material/atmosphere reference only — never presented as this business's own work. Replace with owner-supplied originals if the business becomes a client."
01,kitchen.*,https://images.unsplash.com/photo-1643913589016-b0111a4888e7,LICENSED,YES,YES,"Unsplash License (commercial use, no attribution required). Role: context. Material/atmosphere reference only — never presented as this business's own work. Replace with owner-supplied originals if the business becomes a client."
02,hero-kitchen.*,https://images.unsplash.com/photo-1560185127-1902ccdc5094,LICENSED,YES,YES,"Unsplash License (commercial use, no attribution required). Role: hero. Material/atmosphere reference only — never presented as this business's own work. Replace with owner-supplied originals if the business becomes a client."
02,slab-santa-cecilia.*,https://images.unsplash.com/photo-1628977614615-f5f4068361ed,LICENSED,YES,YES,"Unsplash License (commercial use, no attribution required). Role: slab. Material/atmosphere reference only — never presented as this business's own work. Replace with owner-supplied originals if the business becomes a client."
02,slab-carrara-grey.*,https://images.unsplash.com/photo-1566305977571-5666677c6e98,LICENSED,YES,YES,"Unsplash License (commercial use, no attribution required). Role: slab. Material/atmosphere reference only — never presented as this business's own work. Replace with owner-supplied originals if the business becomes a client."
02,slab-verde-mist.*,https://images.unsplash.com/photo-1640280882429-204f63d777e7,LICENSED,YES,YES,"Unsplash License (commercial use, no attribution required). Role: slab. Material/atmosphere reference only — never presented as this business's own work. Replace with owner-supplied originals if the business becomes a client."
